date,open,high,low,close,volume,bb_upper_21_2,bb_mid_21,bb_lower_21_2,sma_200,sma_89,sma_50,sma_3,sma_2,macd_line_8_21,macd_signal_5,macd_hist,rsi_13,stoch_rsi_raw_21,stoch_rsi_k_3,stoch_rsi_d_5,plus_di_5,minus_di_5,adx_13
2026-01-05,270.6400,271.5100,266.1400,267.2600,45647190,281.025227,274.455714,267.886202,232.302000,261.530112,273.003200,270.043333,269.135000,-1.657945,-1.100136,-0.557809,35.183581,0.000000,1.956447,11.715496,20.338261,21.552158,33.738020
2026-01-06,267.0000,267.5500,262.1200,262.3600,52352090,281.363682,273.582381,265.801080,232.543300,261.864944,273.058800,266.876667,264.810000,-2.701495,-1.633922,-1.067572,28.156027,0.000000,0.000000,7.920582,15.469804,34.114759,34.035275
2026-01-07,263.2000,263.6800,259.8100,260.3300,48309804,281.964902,272.703810,263.442717,232.753600,262.181685,273.009000,263.316667,261.345000,-3.651348,-2.306397,-1.344950,25.839633,0.000000,0.000000,4.467608,12.750665,38.610125,35.290149
2026-01-08,257.0200,259.2900,255.7000,259.0400,50419337,282.435567,271.806190,261.176814,232.945150,262.511124,272.813600,260.576667,259.685000,-4.418590,-3.010462,-1.408129,24.454608,0.000000,0.000000,1.768013,10.096647,49.050545,37.641619
2026-01-09,259.0750,260.2100,256.2200,259.3700,39996967,282.536733,270.958095,259.379457,233.123250,262.745955,272.621000,259.580000,259.205000,-4.828487,-3.616470,-1.212017,25.560370,3.265359,1.088453,0.608980,12.470491,40.066796,38.786655
2026-01-12,259.1600,261.3000,256.8000,260.2500,45263767,281.955839,270.075714,258.195590,233.316850,262.975955,272.432000,259.553333,259.810000,-4.905213,-4.046051,-0.859162,28.580339,12.650109,5.305156,1.278722,14.882140,31.844429,38.595463
2026-01-13,258.7200,261.8100,258.3900,261.0500,45730847,281.182994,269.267143,257.351292,233.502850,263.215955,272.225000,260.223333,260.650000,-4.755317,-4.282473,-0.472844,31.324257,21.063370,12.326279,3.743977,14.887057,26.649047,37.804851
2026-01-14,259.4900,261.8200,256.7100,259.9600,40019421,280.225664,268.394762,256.563860,233.713150,263.464045,272.016800,260.420000,260.505000,-4.696395,-4.420447,-0.275948,29.643220,20.812537,18.175338,7.379045,11.410229,28.103500,38.146537
2026-01-15,260.6500,261.0400,257.0500,258.2100,39388564,279.934507,267.637619,255.340731,233.893550,263.732135,271.800000,259.740000,259.085000,-4.789654,-4.543516,-0.246138,27.112523,10.661418,17.512442,10.881533,9.292109,22.886550,38.461939
2026-01-16,257.9000,258.9000,254.9300,255.5300,72142773,279.635417,266.729048,253.822679,234.055250,264.055056,271.509800,257.900000,256.870000,-5.110753,-4.732595,-0.378158,23.748834,0.000000,10.491318,12.762107,7.549167,28.610121,39.983708
2026-01-20,252.7300,254.7900,243.4200,246.7000,80267517,280.772578,265.531905,250.291232,234.169300,264.242360,271.041000,253.480000,251.115000,-6.394040,-5.286410,-1.107630,16.459934,0.000000,3.553806,12.411837,4.401313,56.312330,43.485069
2026-01-21,248.7000,251.5600,245.1800,247.6500,54641725,281.074981,264.363333,247.651685,234.391600,264.394944,270.598600,249.960000,247.175000,-7.047495,-5.873439,-1.174057,19.345130,8.762961,2.920987,10.530778,3.453091,44.180360,46.717095
2026-01-22,249.2000,251.0000,248.1500,248.3500,39708340,280.645028,263.157619,245.670210,234.691450,264.525843,270.196200,247.566667,248.000000,-7.275241,-6.340706,-0.934535,21.509027,15.335185,8.032715,8.502254,3.025301,38.707028,49.700503
2026-01-23,247.3200,249.4100,244.6800,248.0400,41688982,280.312548,262.065714,243.818880,235.024350,264.636966,269.768400,248.013333,248.195000,-7.330006,-6.670473,-0.659533,21.235691,14.505002,12.867716,7.573309,2.482502,44.924725,52.764073
2026-01-26,251.4800,256.5600,249.8000,255.4100,55969234,279.107763,261.258571,243.409380,235.439300,264.821461,269.371600,250.600000,251.725000,-6.252870,-6.531272,0.278402,40.658227,73.495427,34.445205,12.364086,25.915259,31.998153,49.513254
2026-01-27,259.1700,261.9500,258.2100,258.2700,49648271,277.491997,260.518571,243.545145,235.736400,265.050562,269.067600,253.906667,256.840000,-4.989383,-6.017309,1.027926,46.232137,90.486295,59.495575,23.552440,38.139423,25.075211,47.294268
